name,frameTime,F0semitoneFrom27_5Hz_sma3nz_amean,F0semitoneFrom27_5Hz_sma3nz_stddevNorm,F0semitoneFrom27_5Hz_sma3nz_percentile20_0,F0semitoneFrom27_5Hz_sma3nz_percentile50_0,F0semitoneFrom27_5Hz_sma3nz_percentile80_0,F0semitoneFrom27_5Hz_sma3nz_pctlrange0_2,F0semitoneFrom27_5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27_5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27_5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20_0,loudness_sma3_percentile50_0,loudness_sma3_percentile80_0,loudness_sma3_pctlrange0_2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0_H1_H2_sma3nz_amean,logRelF0_H1_H2_sma3nz_stddevNorm,logRelF0_H1_A3_sma3nz_amean,logRelF0_H1_A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0_500_sma3nz_amean,slopeV0_500_sma3nz_stddevNorm,slopeV500_1500_sma3nz_amean,slopeV500_1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0_500_sma3nz_amean,slopeUV500_1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
'unknown',0,23.71652,0.04276174,22.89387,23.57926,24.08617,1.192299,18.42591,6.221807,15.99232,5.277671,1.108578,0.5206623,0.4817372,1.064028,1.638055,1.156317,8.97408,3.475809,7.129622,1.687431,0.8634459,0.7220234,30.39388,0.1617926,-5.45159,-1.062911,-1.344153,-3.635531,-18.81974,-0.4605098,0.04772337,0.6990611,1.59128,0.535992,-0.02549785,-121.8321,-4.033033,-0.7936344,16.6892,0.2335142,516.665,0.2681039,1507.495,0.1028885,-106.181,-0.947167,1431.377,0.05965229,1126.989,0.1196739,-109.4987,-0.8898362,2336.396,0.0359961,955.022,0.3487119,-115.6777,-0.7841164,-11.45877,-0.1876833,27.32578,0.1277584,0.07947105,0.1648441,-0.02433578,-0.2695446,1.24026,0.4116988,33.14934,0.08806702,-10.5121,-0.3874392,-4.113829,-1.113685,-20.83787,-0.4283259,-13.57402,25.99469,0.05398733,-0.02359124,0.6617222,3.191489,3.370787,0.12,0.05099019,0.15,0.1283225,-16.50255
'unknown',0,38.9042,0.09383342,35.45448,40.05247,40.68835,5.233879,16.38471,8.287494,97.96465,0,1.455216,0.3620095,0.9195709,1.415851,2.117713,1.198142,12.8929,8.818199,14.45578,8.436195,0.8722317,0.5952195,9.401141,1.461711,11.3507,0.6352181,12.20671,0.7640144,-25.47024,-0.2819041,0.03851266,0.8022346,1.367346,0.5494492,5.596659,1.078861,18.84295,0.4049667,24.2894,0.3710448,675.2526,0.1905672,1510.51,0.1281108,-70.48444,-1.140325,1695.393,0.06988488,1155.685,0.2172929,-69.81468,-1.013189,2523.738,0.06937212,1091.934,0.2854368,-70.14183,-1.004565,-10.97793,-0.8187484,17.04436,0.6422519,0.05620039,0.269426,-0.03027558,-0.2777271,0.9533103,0.5483658,13.66298,0.8545396,10.66289,0.7729101,11.87793,0.8066951,-25.98026,-0.2618701,3.148144,0.6203017,0.05489298,-0.02376714,0.8366137,5.208333,4.444445,0.1575,0.0426468,0.06666666,0.05185449,-14.29236
'unknown',0,39.27706,0.04338408,38.1229,38.89401,40.33623,2.213333,59.05478,66.23865,32.88395,51.54122,0.8786303,0.9368729,0.3115917,0.5478511,1.396312,1.08472,6.861574,5.942588,5.631532,4.693598,0.4445083,1.323519,23.2544,0.364733,-2.596536,-6.194567,7.607787,1.674106,-25.79395,-0.5217339,0.02383254,1.230214,1.104596,0.7036673,8.494687,0.5615548,15.79231,0.9641037,23.29604,0.5540577,756.2354,0.1830969,1297.723,0.171165,-57.92246,-1.394839,1798.382,0.1201353,991.5759,0.3005348,-62.11934,-1.171463,2666.396,0.06552429,1060.538,0.3202291,-62.57122,-1.157843,-15.05698,-0.5590954,21.73331,0.4985591,0.04723976,0.3852826,-0.03422572,-0.342557,0.5624068,1.132513,24.02318,0.3764241,-2.715918,-6.374535,7.451224,1.896646,-30.00501,-0.4135245,-10.77428,17.32067,0.01976079,-0.01694223,0.09781522,2.473498,3.23741,0.2255556,0.141979,0.08666667,0.07408704,-18.57574
'unknown',0,38.28983,0.01760224,37.71616,38.29039,38.64063,0.924469,10.69345,3.776821,3.0026,9.630536,1.20302,0.4173486,0.626722,1.222542,1.761379,1.134657,8.417003,3.650111,6.900939,5.821074,0.6925192,0.6827338,28.6694,0.1950198,3.906695,1.788296,10.99635,0.8127811,-19.61245,-0.418329,0.01508207,1.041143,1.022228,0.8855103,11.37228,0.3017049,26.12552,0.3957896,33.7319,0.1498114,679.006,0.1723409,1321.354,0.1544367,-50.4109,-1.353829,1768.583,0.1200253,1003.987,0.354683,-54.49929,-1.11016,2657.482,0.08821908,929.2309,0.2857977,-56.24601,-1.054673,-22.95325,-0.2311156,28.60796,0.1845144,0.07400601,0.2029557,-0.0413307,-0.1987474,0.8082279,0.5677003,30.77424,0.1285213,5.537885,1.224133,12.55565,0.7280803,-22.09409,-0.3182889,-10.22994,18.40903,0.0392521,-0.02126367,0.2606632,4,2.5,0.3233333,0.1155662,0.07,0.04,-11.6527
'unknown',0,42.75033,0.04098274,41.05379,42.3416,44.32639,3.272594,0.5292126,0,0,0,1.131848,0.3970648,0.7449211,1.046583,1.650932,0.9060113,14.43321,4.099853,-6.364818,8.248007,1.165047,0.9381423,8.130337,1.500936,17.65096,0.573481,4.885549,0.8249138,-38.40781,-0.4209418,0.0696151,0.02151347,2.040332,0.1958636,10.63913,0.1145257,25.10972,0.06308898,27.49761,0.2494428,717.6862,0.1642243,1095.049,0.1445207,-128.1211,-0.645093,1921.975,0.1256846,912.7255,0.1440203,-127.4849,-0.5766507,2787.223,0.08952904,853.0449,0.1826386,-123.0234,-0.6350969,-18.28676,-0.4660242,22.84286,0.3652149,0.04769292,0.2050908,-0.0407732,-0.3040269,1.106931,0.4829482,11.42356,0.7654636,25.82491,0.142112,3.096371,0.3286249,-40.3293,-0.4167127,-0.997557,5.336107,0.03454781,-0.02549804,0.2910168,7.407408,4.761905,0.09,0,0.09999999,0,-11.75225
'unknown',0,35.44153,0.05482579,34.8667,35.78322,36.37829,1.511589,22.3906,11.95348,13.03002,7.681178,1.195032,0.3147956,0.7755446,1.187967,1.54788,0.7723355,9.347561,7.999111,10.8431,8.172658,0.7616627,0.6594297,27.33611,0.3248041,3.35879,1.709741,9.086437,0.8118118,-12.87979,-0.469235,0.02197969,0.9716567,1.249535,0.7415859,7.087723,0.5043984,5.571259,1.006554,27.03039,0.1830329,694.2105,0.1407756,1354.046,0.08933455,-60.02077,-1.391579,1738.869,0.07703626,1050.621,0.2594456,-71.12547,-1.056317,2611.312,0.08532866,1112.554,0.3274839,-73.46434,-1.001386,-17.58834,-0.1889965,22.75224,0.2148909,0.05261997,0.2690259,-0.03819302,-0.2101806,0.8787433,0.6051446,30.33245,0.2224523,4.078866,1.520872,11.11955,0.5999559,-14.03674,-0.4370156,-11.57794,18.33708,0.03175615,-0.02563137,0.5437754,5.617978,3.468208,0.1966667,0.2414309,0.06,0.03162277,-15.86636
'unknown',0,37.31022,0.01822983,36.70044,37.03205,38.19806,1.497623,10.40172,6.063356,9.437167,4.356404,1.508335,0.4136655,0.9050303,1.447102,2.179119,1.274089,18.66514,11.90087,16.41996,7.038405,0.7824686,0.904658,21.31596,0.7323279,2.549853,4.542081,13.06828,1.062875,-18.26353,-0.4068631,0.02551782,1.428211,1.109634,0.9393131,10.14729,0.3180261,12.83637,0.6342896,26.54382,0.2060631,576.1066,0.2321852,1489.231,0.1118897,-47.91352,-1.740111,1513.552,0.08848123,1183.69,0.1404005,-54.39122,-1.381618,2404.459,0.05402816,1062.665,0.1079996,-59.92764,-1.202687,-14.09499,-0.2866527,23.68717,0.1930949,0.0470547,0.2973602,-0.02343638,-0.5244383,1.010019,0.840066,29.58125,0.1837548,-3.577489,-2.522159,5.333245,1.432359,-15.36002,-0.4227496,1.868838,3.598235,0.01400087,-0.01998456,0.4619044,6.666667,1.960784,0.39,0,0.09999999,0,-13.52261
'unknown',0,39.21924,0.03300729,38.00642,39.12625,40.29868,2.292259,23.51305,5.149104,16.35485,17.54656,1.073957,0.3915547,0.7035236,1.020405,1.477219,0.7736951,12.41617,8.95371,9.482285,4.946343,0.6400286,0.8519127,17.91187,0.5690784,7.108779,1.386598,5.61658,1.905456,-17.71645,-0.6552268,0.02496885,0.7928874,1.184535,0.6883134,8.10213,0.5086581,20.62946,0.353503,24.24385,0.2163111,710.4856,0.1652506,1319.362,0.1214092,-88.30595,-0.9434956,1778.154,0.1015144,1073.681,0.3161507,-87.34351,-0.8901179,2574.786,0.06917541,1033.283,0.2194912,-86.37628,-0.9074561,-16.0878,-0.3962925,20.47626,0.339138,0.05424225,0.2493437,-0.03807788,-0.2631551,0.7979323,0.7716514,20.74084,0.3969687,8.564427,0.910749,6.569962,1.731009,-21.39254,-0.515361,-9.305076,15.86989,0.03816181,-0.0226942,0.4071723,5.202312,3.571429,0.1716667,0.1270717,0.07428571,0.0446757,-17.23573
'unknown',0,36.14362,0.064564,34.23434,35.52383,38.01214,3.777798,20.60367,0,-144.1433,0,1.67366,0.2436581,1.15803,1.787037,2.031734,0.8737038,14.07739,2.044513,1.418358,5.295578,1.088384,0.5170036,26.91334,0.2329779,-0.6049939,-16.21725,-5.1447,-0.9674194,-24.64711,-0.456575,0.02575036,0.9894156,1.687241,0.8167881,6.043349,0.5605606,9.389341,1.239562,28.62934,0.3408235,751.5726,0.1468435,1409.957,0.1192966,-11.67771,-2.07373,1636.416,0.06781598,1138.203,0.1054164,-23.62799,-0.9702174,2700.405,0.05499998,920.944,0.3042899,-29.50613,-0.7126876,-13.42177,-0.6875879,25.18704,0.3423732,0.07611002,0.3094853,-0.02545966,-0.4867515,1.178049,0.4822902,27.46994,0.2325757,-0.5758712,-16.81156,-5.570303,-0.9335605,-24.27355,-0.5004132,0.7580837,8.79415,0.04703477,-0.008593487,0,4.444445,2.564103,0.37,0,0,0,-11.76938
'unknown',0,39.8593,0.06084114,37.53179,39.19759,41.63821,4.106422,32.38459,12.46165,28.78786,3.950035,1.041933,0.5996915,0.4343594,0.9340554,1.604299,1.16994,12.1009,5.655955,8.463293,4.433178,0.6902771,0.9576162,24.17672,0.2148525,-0.4493525,-12.82591,-1.351772,-6.255631,-23.5648,-0.59205,0.01967362,0.6679749,1.160054,0.7605644,9.690808,0.36533,14.0293,0.6304768,30.76334,0.1656155,711.7097,0.2022539,1475.024,0.1522271,-110.479,-0.8312882,1632,0.1147063,1204.093,0.2347014,-106.3327,-0.7994393,2633.992,0.07617453,960.5426,0.2104828,-110.613,-0.7319893,-15.6883,-0.280147,27.82951,0.1546741,0.03642713,0.4957505,-0.03239307,-0.263647,1.058017,0.6466856,27.54393,0.1464108,-1.539682,-4.389797,-2.731176,-3.809468,-33.71393,-0.2507605,-10.0759,20.69795,0.003421883,-0.0161546,0.3187911,2.531646,2.614379,0.1925,0.09310613,0.134,0.08912912,-15.10196
